Ciudad,Nombre,Dirección,Latitud,Longitud
Manta,TuTi PORTOVIEJO LOS BOSQUES,"XG2J+655, Portoviejo",-1.0495283,-80.4695502
Manta,TuTi Municipal,"XGJM+RVP, Avenida Jose Maria Urbina, Portoviejo",-1.0179041,-80.4652938
Manta,TuTi ALTAMIRA,"28H2+M6Q, Av. Las Acacias, Manta",-0.9707853999999999,-80.6993923
Manta,TuTi Las Orquideas,"WGR9+M57, C. D-1, Portoviejo",-1.0583449,-80.4820608
Manta,TuTi Charapotó,"5G75+VQC, Charapotó",-0.8353075999999999,-80.4905158
Manta,TuTi EL PORVENIR,"27MP+FCM, Manta",-0.9662928,-80.71394509999999
Manta,Tuti San Pedro,"27GQ+885, Vía Interbarrial, Manta",-0.9743721,-80.71167229999999
Manta,TuTi MANTA INTERBARRIAL,"27GQ+22Q, Manta",-0.9749823999999999,-80.7123541
Manta,TuTi MANTA SANTA MARTHA,"27W9+F5F, Manta",-0.9538227,-80.7320778
Manta,TuTi AURORA,"2893+PGQ, Manta",-0.9804632999999999,-80.6962186
Manta,TuTi Ricaurte,"WGWW+7GW, Portoviejo",-1.054284,-80.4536937
Manta,TuTi MANTA COSTA AZUL,"28PG+P76, Manta",-0.9632602999999998,-80.6743872
Manta,TuTi Abdón Calderón,"XM95+QW7, E30, Portoviejo",-1.0306089,-80.34019669999999
Manta,TuTi Florón,"WGCW+3PR, C. 21 de Diciembre, Portoviejo",-1.0797352,-80.4532535
Manta,TuTi Jipijapa Centro,"MC2C+CQX, Jipijapa",-1.3488896,-80.57801540000001
Manta,Tuti del redondel del Paraiso,"27VX+FQ3, Avenida 108, Manta",-0.9563559,-80.7005741
Manta,Tuti 24 de Mayo,"PHCJ+7MF, Portoviejo",-1.2793437,-80.4184142
Manta,TuTi AV. GUAYAQUIL,"WHR4+WFV, Portoviejo",-1.057634,-80.4438656
Manta,@pollosfagape2016,"Calle 309 11, Manta",-0.9693487,-80.70513559999999
Manta,Tuti,"27CH+6JH, Manta",-0.9794337,-80.7208946
Manta,Tuti Playita Mía,"372W+7XC, Manta",-0.9493185000000001,-80.7025996
Manta,TuTi CIELITO LINDO,"273V+V3R, Manta",-0.9952660999999999,-80.7073638
Manta,TuTi MONTECRISTI LA PRADERA,"2897+858, Manta",-0.9817005,-80.6870484
Manta,TuTi LA TEJEDORA,"DE LA LOTIZACIÓN LAS PAMPAS DEL SOL, MZ E LOTE 17",-1.1286535,-80.7973681
